Date,AAPL,AXP,BA,CAT,CSCO,CVX,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,TSLA,UNH,V,VZ,WBA,WMT,XOM
2015-06-10,29.32793426513672,72.09868621826172,125.42881774902344,72.40149688720703,23.04179573059082,74.70893096923828,,189.79310607910156,95.27676391601562,118.63788604736328,26.293291091918945,81.96907043457031,56.304134368896484,32.13887405395508,80.07489013671875,128.9232635498047,45.66575241088867,41.440269470214844,48.12331771850586,25.169710159301758,64.93779754638672,62.332279205322266,84.68898010253906,50.13999938964844,106.36036682128906,66.44012451171875,34.63536834716797,69.74588775634766,62.60699462890625,60.943058013916016
2015-06-11,29.261943817138672,72.19758605957031,126.61563873291016,72.14779663085938,23.202585220336914,74.18805694580078,,190.51441955566406,95.54292297363281,118.53956604003906,26.318084716796875,82.26748657226562,56.518592834472656,32.2192268371582,80.31856536865234,129.5879669189453,45.47277069091797,41.28912353515625,48.37479019165039,25.27974510192871,64.83162689208984,62.767269134521484,85.50016784667969,50.28200149536133,107.50460815429688,66.44969177246094,34.84694290161133,69.99063873291016,62.61559295654297,60.85723114013672
2015-06-12,28.93880844116211,71.50526428222656,126.47393798828125,71.88594055175781,22.94532012939453,73.27098083496094,,189.73072814941406,94.95053100585938,117.28236389160156,25.880138397216797,81.52970886230469,56.295867919921875,32.10673141479492,79.87321472167969,128.1126251220703,44.66999053955078,40.87125015258789,48.32822799682617,25.096345901489258,64.39077758789062,62.385345458984375,84.93659973144531,50.13800048828125,105.99995422363281,66.15388488769531,34.47483825683594,69.39507293701172,62.17776870727539,60.09195327758789
2015-06-15,28.881914138793945,71.2535171508789,126.02223205566406,71.29679870605469,22.897079467773438,72.845458984375,,188.5730438232422,94.44403076171875,116.76969146728516,25.93798065185547,80.81678771972656,56.08141326904297,31.8094425201416,79.23464965820312,126.35348510742188,44.09107208251953,40.43559646606445,48.12797164916992,24.971641540527344,63.77846908569336,60.799171447753906,84.35594940185547,50.07600021362305,107.19828033447266,65.42869567871094,34.29243850708008,68.8729476928711,61.74855041503906,59.877403259277344
2015-06-16,29.03665542602539,71.3524398803711,126.0665283203125,70.85491180419922,23.081993103027344,73.39569091796875,,190.1759796142578,94.63289642333984,117.17705535888672,26.144563674926758,81.53799438476562,56.394866943359375,32.20314407348633,79.51190185546875,126.8561019897461,44.54650115966797,40.74678039550781,48.691463470458984,24.971641540527344,64.57855224609375,60.9742317199707,84.95365905761719,50.624000549316406,109.51377868652344,65.84852600097656,34.5988883972168,70.06404876708984,62.10909652709961,60.564002990722656
2015-06-17,28.968387603759766,72.21556091308594,127.03187561035156,71.39498901367188,23.25887107849121,73.19026184082031,,189.614990234375,94.83893585205078,117.40880584716797,26.400720596313477,81.84473419189453,56.20513916015625,32.35580825805664,80.0076675415039,127.22906494140625,44.70087432861328,40.87125015258789,48.77992630004883,24.92761993408203,65.37865447998047,61.04319381713867,85.2012710571289,52.082000732421875,107.88299560546875,65.6004409790039,34.48942947387695,69.85193634033203,62.4353141784668,60.599769592285156
2015-06-18,29.10036849975586,72.62015533447266,128.75897216796875,71.55045318603516,23.48398208618164,73.54976654052734,,191.10214233398438,96.02366638183594,118.16731262207031,26.75603485107422,83.19593811035156,56.733036041259766,32.6611328125,80.80589294433594,129.39341735839844,45.225772857666016,41.538063049316406,49.362030029296875,25.213720321655273,65.98280334472656,61.4835090637207,86.64435577392578,52.37799835205078,108.91913604736328,66.31608581542969,34.85425567626953,71.6304931640625,62.649925231933594,61.136173248291016
2015-06-19,28.809093475341797,72.09868621826172,128.53756713867188,71.61593627929688,23.339269638061523,72.9775161743164,,189.84654235839844,96.52159118652344,117.28236389160156,26.499874114990234,82.7814712524414,56.1556510925293,32.46025848388672,80.73029327392578,128.85028076171875,44.80120849609375,40.98683547973633,49.60883712768555,25.07434844970703,65.75421142578125,60.94771194458008,84.91950225830078,52.50199890136719,108.41458129882812,65.5431900024414,34.628055572509766,72.21784973144531,62.44388961791992,60.943058013916016
2015-06-22,29.038936614990234,73.05171203613281,129.04237365722656,72.2296371459961,23.266910552978516,73.57910919189453,,192.802978515625,97.07103729248047,117.80213165283203,26.656869888305664,82.97213745117188,56.881507873535156,32.524539947509766,81.39407348632812,129.44200134277344,45.41102600097656,41.102413177490234,49.729915618896484,25.169710159301758,65.68071746826172,61.15459442138672,85.42330932617188,51.95800018310547,108.34251403808594,65.92487335205078,34.679134368896484,71.58966064453125,62.48682403564453,60.91444778442383
2015-06-23,28.906946182250977,73.15062713623047,127.91758728027344,72.37692260742188,23.14631462097168,73.432373046875,,194.48605346679688,97.16546630859375,118.42719268798828,26.516403198242188,82.71514129638672,57.53316116333008,32.44419479370117,81.65454864501953,129.57174682617188,45.56540298461914,40.817909240722656,49.920841217041016,25.309093475341797,65.14187622070312,61.12807083129883,85.38916015625,53.534000396728516,110.58594512939453,66.23975372314453,34.85425567626953,71.05121612548828,62.29794692993164,60.84294509887695
2015-06-24,29.152706146240234,72.59319305419922,126.65108489990234,72.14779663085938,22.921199798583984,72.83077239990234,,190.95074462890625,96.45291900634766,117.26835632324219,26.36766815185547,82.34211730957031,56.93101501464844,32.29153060913086,81.20081329345703,127.7072982788086,44.95559310913086,40.57784652709961,49.4644775390625,25.11102294921875,64.91327667236328,60.45967483520508,84.34739685058594,53.034000396728516,107.36943817138672,65.70541381835938,34.5040283203125,70.28433227539062,62.13485336303711,60.564002990722656
2015-06-25,29.013898849487305,71.81995391845703,126.16394805908203,70.9612808227539,22.832767486572266,72.14846801757812,,189.5170135498047,96.35846710205078,116.6432876586914,26.43376922607422,82.16802978515625,56.625823974609375,32.15494155883789,80.48661804199219,126.39407348632812,44.693153381347656,40.58675765991211,48.998802185058594,24.956966400146484,64.8153076171875,60.10422897338867,83.51911163330078,53.757999420166016,110.2165298461914,65.47639465332031,34.61347579956055,70.45565795898438,61.68845748901367,60.02760696411133
2015-06-26,28.843229293823242,71.81995391845703,126.1905288696289,71.04312896728516,22.73628807067871,72.33922576904297,,189.8287353515625,96.66756439208984,116.20783996582031,25.63224220275879,82.5990982055664,56.87327575683594,32.13887405395508,81.74698638916016,127.34249114990234,45.148582458496094,40.23999786376953,51.0897102355957,24.88360595703125,64.77449798583984,60.220943450927734,83.61306762695312,53.417999267578125,111.04541778564453,65.6004409790039,34.74480056762695,70.7901382446289,61.911651611328125,59.977535247802734
2015-06-29,28.338041305541992,69.9498291015625,122.8692398071289,69.79933166503906,22.141347885131836,70.93792724609375,,184.91311645507812,94.89904022216797,114.45901489257812,25.111665725708008,80.97430419921875,55.42978286743164,31.656797409057617,80.19253540039062,124.79708862304688,44.222286224365234,39.4487190246582,50.13971710205078,24.641515731811523,63.94175338745117,59.1652717590332,82.0931396484375,52.40399932861328,109.18943786621094,63.6634521484375,34.1246223449707,68.75872039794922,61.31072998046875,59.233699798583984
2015-06-30,28.5428524017334,70.13934326171875,122.86039733886719,69.40656280517578,22.0770263671875,70.77652740478516,,185.92828369140625,95.4055404663086,114.24127960205078,25.13645362854004,80.79193115234375,55.89169692993164,31.520200729370117,79.8816146850586,125.08080291748047,43.94440460205078,39.25313186645508,50.302711486816406,24.597501754760742,63.87643814086914,58.84697341918945,82.5371322631836,53.652000427246094,109.9192123413086,64.07374572753906,34.00788497924805,68.88925170898438,60.89008712768555,59.5054817199707
2015-07-01,28.809093475341797,70.75302124023438,124.64061737060547,68.69466400146484,22.158052444458008,70.49774169921875,,186.952392578125,96.21255493164062,115.5265884399414,24.938140869140625,81.62918090820312,56.51437759399414,31.73714256286621,80.46141052246094,126.1751708984375,44.461578369140625,39.51984786987305,50.959312438964844,24.714879989624023,65.08473205566406,58.78861999511719,84.79143524169922,53.83000183105469,111.16256713867188,64.74166870117188,34.29243850708008,69.97428894042969,61.70560836791992,58.911865234375
2015-07-02,28.772686004638672,70.5815658569336,124.18002319335938,69.04650115966797,22.141845703125,70.3363265991211,,186.2933807373047,95.71460723876953,115.94796752929688,25.25214195251465,81.60433197021484,56.05774688720703,31.729110717773438,80.80589294433594,125.956298828125,44.51561737060547,39.47539138793945,51.16421127319336,24.48012924194336,65.25617980957031,58.120208740234375,84.73165130615234,56.00400161743164,109.74800109863281,65.11381530761719,34.4383659362793,70.0069351196289,61.68845748901367,59.46257400512695
2015-07-06,28.67255973815918,70.02202606201172,124.45462799072266,68.04003143310547,22.0527286529541,69.52928161621094,,185.2603759765625,95.56866455078125,115.69511413574219,24.822458267211914,81.40538024902344,55.89999008178711,31.672855377197266,80.36897277832031,125.71312713623047,44.42298889160156,39.466495513916016,51.15024185180664,24.392099380493164,65.35415649414062,58.01411056518555,84.48402404785156,55.944000244140625,110.0633773803711,64.99932861328125,34.321632385253906,69.66429138183594,62.263641357421875,59.02628707885742
2015-07-07,28.602014541625977,69.98593139648438,126.78388977050781,68.72737884521484,22.16615104675293,69.89612579345703,,185.41180419921875,96.49583435058594,115.88471984863281,24.706775665283203,82.00223541259766,55.459983825683594,32.339752197265625,81.23441314697266,125.99687957763672,44.76262283325195,39.386478424072266,51.825477600097656,24.744224548339844,66.71759796142578,58.401363372802734,85.41476440429688,53.57600021362305,108.74794006347656,64.66534423828125,34.47483825683594,71.1817626953125,63.345272064208984,59.26947021484375
2015-07-08,27.892026901245117,68.52394104003906,125.69452667236328,67.3199462890625,21.866392135620117,68.64154815673828,,181.71620178222656,95.2939224243164,114.59246063232422,24.376249313354492,81.0489273071289,54.32255935668945,32.026390075683594,80.52860260009766,123.79195404052734,44.26860809326172,39.33313751220703,50.884803771972656,24.538814544677734,66.12158966064453,57.6480827331543,84.3303451538086,50.992000579833984,107.01807403564453,63.67299270629883,34.38625717163086,70.08853912353516,62.71858215332031,58.62578582763672
2015-07-09,27.32312774658203,68.89395141601562,126.47393798828125,66.84532928466797,21.80157470703125,68.8029556274414,,182.384033203125,95.62016296386719,115.07710266113281,23.90525245666504,81.57117462158203,54.88711166381836,32.074607849121094,81.07476806640625,124.63499450683594,44.29175567626953,39.58207702636719,50.9639778137207,24.839590072631836,65.85218048095703,57.78068923950195,85.44892883300781,51.58399963378906,107.52261352539062,63.978355407714844,34.150028228759766,73.05819702148438,62.47823715209961,58.36114501953125
2015-07-10,28.05359649658203,69.76933288574219,127.96188354492188,67.22176361083984,22.101333618164062,69.26517486572266,,184.5034942626953,97.09679412841797,117.2542953491211,24.103567123413086,82.5079116821289,55.667545318603516,32.45222854614258,82.04944610595703,125.60775756835938,44.731746673583984,39.662105560302734,51.4669075012207,25.206390380859375,66.08892059326172,58.44911575317383,86.24304962158203,51.83000183105469,110.05435180664062,65.28556823730469,34.69630432128906,75.96255493164062,62.770103454589844,58.80458068847656
2015-07-13,28.595191955566406,70.87033081054688,129.85719299316406,68.44097900390625,22.5145206451416,69.40454864501953,,187.11268615722656,98.64209747314453,118.96095275878906,24.566299438476562,83.1213607788086,56.530982971191406,32.66917037963867,82.7048568725586,126.83995056152344,44.66999053955078,40.488948822021484,52.347042083740234,25.543840408325195,66.87268829345703,59.19179916381836,87.37873077392578,52.43199920654297,110.32466125488281,66.33516693115234,34.843955993652344,77.08025360107422,63.42249298095703,58.947635650634766
2015-07-14,28.583810806274414,71.26742553710938,130.85804748535156,69.11199951171875,22.70895767211914,70.1015625,,188.9292755126953,99.0370101928711,118.42015075683594,24.500198364257812,82.71514129638672,57.31970977783203,33.07893371582031,82.99891662597656,127.0911636352539,44.91700744628906,40.56007766723633,52.3144416809082,25.734577178955078,66.97882843017578,59.1546630859375,87.4214096069336,53.130001068115234,112.62213897705078,66.88858795166016,34.99897766113281,76.95784759521484,63.345272064208984,59.441123962402344
2015-07-15,28.859159469604492,70.87936401367188,130.09632873535156,68.86649322509766,22.77377700805664,69.14044952392578,,189.64175415039062,99.22587585449219,118.36396026611328,24.533248901367188,83.24569702148438,57.44424057006836,33.04679870605469,83.24259185791016,126.45887756347656,44.940162658691406,40.68453598022461,52.10953903198242,25.661218643188477,67.06861877441406,59.016727447509766,87.45557403564453,52.62799835205078,113.3969955444336,66.81224822998047,34.939918518066406,76.64786529541016,63.22508239746094,59.19081497192383
2015-07-16,29.243730545043945,71.22228240966797,131.51339721679688,69.17203521728516,22.94390869140625,69.31653594970703,,188.05657958984375,98.49614715576172,120.09874725341797,24.706775665283203,83.81770324707031,57.751461029052734,33.3280143737793,82.22588348388672,127.40734100341797,45.40330505371094,41.484718322753906,52.3144416809082,25.749248504638672,67.19109344482422,59.02204132080078,88.19844818115234,53.33599853515625,112.55907440185547,67.33706665039062,35.30904006958008,78.39376068115234,63.379634857177734,59.29808044433594
2015-07-17,29.496322631835938,71.49304962158203,130.05203247070312,68.67658233642578,22.830486297607422,68.34075164794922,,189.19642639160156,98.27294921875,121.15925598144531,24.351459503173828,82.96385192871094,57.46084976196289,33.14321517944336,81.92342376708984,127.01825714111328,45.40330505371094,41.44915771484375,52.52865982055664,25.72723960876465,67.14208984375,58.74617385864258,87.89959716796875,54.93199920654297,111.58602142333984,67.63286590576172,35.13185501098633,78.11636352539062,63.001861572265625,59.08351135253906
